"gene_symbol","Interneurons_pr","Oligodendrocytes_pr","Medium.spiny.neurons_pr","Endothelial.cells_pr","Astrocytes_pr","Excitatory.neurons_pr","Microglia_pr","OPCs_pr"
"Mrps26",2096.71987397539,1435.43415624029,1383.56947259482,1629.71948640964,1778.04289391877,2023.52458117877,1291.78908435539,1486.8527290819
"Mrps27",3775.79568152075,2140.237854,4942.43745607734,2379.4795248452,2724.14577631057,4390.82934917931,2802.45123088506,3054.52412561379
"Mrps28",1962.3261865578,2902.21533574633,2505.51663405483,1289.95324251626,2043.715777333,1837.10406458704,3759.34444147554,3251.10342345558
"Mrps30",1144.31020272533,1125.11656054142,1479.53250727015,1654.16606699957,1128.64781659021,1322.16832265447,2317.8387219869,1231.03682251175
"Mrps31",2676.30032934886,3075.27232278264,2436.67598739351,3002.98890028181,2389.811564,2360.09309318886,3070.34875689881,2386.46291092107
"Mrps33",979.39550858767,1744.78537754591,1245.75497319266,1790.56990191978,1335.80431472131,910.763480159625,1220.37155251429,1469.974082
"Mrps34",1589.73905425222,1223.51535452679,1412.02148221873,1891.83023738457,1397.67273560038,1502.5452565585,1618.34444076507,1580.85120755557
"Mrps35",916.386050220955,727.244362620973,901.571700493668,649.455195228801,736.1195346,713.979643259452,654.485091463294,598.120958168988
"Mrps36",4184.77530098187,3290.548636,2692.69692425923,2652.14666328382,3122.99144107378,3234.9097385797,4774.21320927133,4212.63860393255
"Mrps5",2662.85642295399,1361.04085686534,2382.28644896648,1432.20421536946,3127.57608260794,2050.23230494121,1852.90260512139,2445.45292503699
"Mrps6",1765.38055821802,1138.55445959261,2016.12502044134,902.496641956351,947.804691492682,1764.28998111478,680.511165864472,618.405727691575
"Mrps7",2790.98598589945,3582.05964360068,2307.664917,1673.3776238666,2939.68594694585,2297.208123,2139.31761986035,5104.12096258454
"Mrps9",1837.07888775115,1726.67720517905,1995.55680617202,1482.14740703714,1472.54125981075,1781.40918309225,1726.64196089181,1511.0403032806
"Mrrf",4351.11191412138,2726.04707498272,3404.6280767009,4200.43276410299,3185.86236343533,2653.73933714467,2791.86408897009,2784.10443176838
"Mrs2",1246.09299192113,865.722574924856,902.55837969936,978.86739720553,1060.79519558397,955.359315697989,803.120031965535,892.740910844591
"Mrto4",621.178073930126,501.662059447845,465.631398477557,259.22385898099,467.908951956374,525.826803553709,341.823842906797,483.953748101783
"Msh2",570.816393298383,391.781366382069,321.238298616271,337.650705362795,373.579122471036,489.514135430986,487.99917078445,438.58185991186
"Msh3",576.393251819664,980.510172796947,892.30689311698,410.237317581122,358.200746311419,635.063968377533,454.37609225137,814.857629041909
