"gene_symbol","Interneurons_ps","Oligodendrocytes_ps","Medium.spiny.neurons_ps","Endothelial.cells_ps","Astrocytes_ps","Excitatory.neurons_ps","Microglia_ps","OPCs_ps"
"Exoc4",82.1627518263119,79.2100717586719,90.9296012264778,86.1966561339988,72.0635222965988,85.9450276143158,95.0349144151186,105.610894542622
"Exoc5",64.805766107986,86.59366397,63.76415798218,66.5446191023268,69.95960307,63.8215004054998,93.789098723221,75.1265487441657
"Exoc7",113.04641866542,102.653534291011,104.453665867399,78.3264515961805,93.2956621871631,110.481648624129,104.15614205664,126.312719874884
"Exoc8",911.335019855762,1067.67788168285,972.481342427898,948.3600911969,650.455755068453,873.39957359179,1712.80832056587,604.843057392431
"Exosc10",193.700530174224,174.506608427842,199.196744786128,141.648393561692,158.446822907613,183.539077606608,189.162020006536,205.98104656801
"Exph5",23.4349614921475,71.2806626303675,128.775495765972,97.2285780035379,59.6653808705184,530.351676997348,100.277965373972,66.2108715901054
"Eya4",221.570568846696,79.7488678186229,3.37645734785069,6.22325145825101,128.973685785992,9.41733708008029,210.072671203648,63.8890014648557
"Ezh1",26.7088166873635,36.5520447358421,27.0208917979347,50.7293190776097,32.7021203294253,27.8878005280423,43.62027802,26.2259255457116
"F11r",3.50336372303392,8.01030166569336,10.1175709278895,132.914422454511,4.63778104932636,6.516823397,1143.2734600855,2.85531254231864
"Fadd",48.8911328228143,41.097131956116,16.486465352184,96.8113301367502,24.4648927058696,30.1065011579978,163.294946114792,73.3172183349552
"Fads2",23.277160101548,17.1329109638846,7.68338590978424,85.37416687,1725.25436249053,44.53334675,13.2327406073686,433.713671129292
"Faf1",319.961456649844,256.54626922689,331.004777682858,188.152156655656,232.878314026368,308.222870839285,261.386782371244,266.57915157143
"Faf2",169.496877059873,164.079803663301,139.930561725087,153.995149333223,151.677995522881,160.355461890088,193.196760739086,174.922205721804
"Fah",55.2590896115329,334.035738150465,11.0523247366565,116.41841706398,149.357189423029,66.3699319910065,14.6366886679234,31.1733289149005
"Faim2",35.1899256696408,26.1772552538458,17.4760922888108,12.3998704262017,8.39614036411548,35.1512552352148,10.6756562061899,19.7531110683331
"Fam102b",58.4533905531523,25.1787640473861,245.190827425152,24.7113214726439,28.8327216816695,43.7337504914523,962.83508221434,132.498672092085
