"gene_symbol","Interneurons_pr","Oligodendrocytes_pr","Medium.spiny.neurons_pr","Endothelial.cells_pr","Astrocytes_pr","Excitatory.neurons_pr","Microglia_pr","OPCs_pr"
"Iqsec3",3544.4,227.9767,883.8164,313.6241,244.5445,2809.917,861.4095,261.6415
"Irak1",110.1719,57.4008,86.77358,80.64799,62.25076,102.5558,405.7778,96.43074
"Irak4",2.871745,59.00217,5.919004,72.08729,26.11595,4.383942,700.2041,62.04156
"Ireb2",341.8734,299.4833,267.8315,251.1134,176.9003,334.2962,1403.089,378.0383
"Irf2bp1",588.6086,673.2204,382.7513,997.4252,497.7118,353.2203,1918.942,853.1284
"Irf2bp2",107.0212,301.7505,119.8518,370.8818,234.8612,133.2414,1633.836,203.4404
"Irf2bpl",700.1545,304.5527,430.559,876.841,457.8034,565.3354,1738.178,618.8789
"Irf3",340.6737,416.9184,184.2878,463.3179,291.7375,249.5482,1466.172,381.8949
"Irgm1",467.8804,944.0195,235.1753,6743.725,2124.662,487.3977,26579.14,3384.985
"Irgq",1808.4,1061.189,1340.989,1370.107,700.6988,1667.956,2894.537,1367.192
"Irs1",289.9758,174.2123,42.61446,412.6006,269.1503,160.8766,61.17329,291.1538
"Irs2",774.8925,1461.798,406.248,337.8371,663.5193,503.3612,1795.596,826.9987
"Isca2",766.4075,751.0974,636.066,580.7799,468.2486,642.5667,1603.946,665.9861
"Iscu",3293.811,1712.752,1173.822,2851.145,1386.318,1919.972,9891.448,1450.41
"Isg15",5.965092,62.6103,13.62898,2555.899,298.4279,37.09269,2084.562,98.29003
"Islr",35.62983,67.79375,14.16873,6424.36,613.4803,104.251,187.0503,208.2503
"Islr2",163.1651,227.6742,606.8639,451.9533,83.53553,1063.631,712.215,125.6834
"Isoc1",2533.688,1342.921,3655.208,6101.262,2284.164,2560.772,17237.6,10098.22
"Isoc2a",1970.761,2420.119,923.4684,3439.072,8084.456,1783.976,8907.3,3973.428
"Isoc2b",970.3203,335.6087,1361.997,570.1102,800.5218,1063.588,3695.534,814.7821
