"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"2529",9.14023654484001e-87,0.422768523133391,0.299,0.13,1.92667046128683e-82,"Astrocytes_WT","Ghr"
"2530",2.29493801646872e-86,0.293705827512695,0.195,0.057,4.8374998449144e-82,"Astrocytes_WT","H2-K1"
"2531",5.58375534651975e-86,0.3862397227282,0.671,0.527,1.1769997894929e-81,"Astrocytes_WT","Nebl"
"2532",1.20709749437736e-84,0.461727884391995,0.423,0.234,2.54444080839803e-80,"Astrocytes_WT","Add3"
"2533",1.20731258910142e-84,0.461895350130888,0.445,0.26,2.54489420656688e-80,"Astrocytes_WT","Zeb1"
"2534",1.14495366707494e-83,0.279888533714192,0.153,0.041,2.41344783482726e-79,"Astrocytes_WT","Gpam"
"2535",2.12741281519947e-83,0.269100208647659,0.163,0.044,4.48437347315896e-79,"Astrocytes_WT","S100a16"
"2536",1.97212679578273e-82,0.264493839942863,0.143,0.037,4.15704607283042e-78,"Astrocytes_WT","Slc25a35"
"2537",2.38896153544439e-82,0.433136727801253,0.303,0.137,5.03569202056322e-78,"Astrocytes_WT","Hdac8"
"2538",2.76800177541137e-82,0.395530782770892,0.286,0.118,5.83467094238963e-78,"Astrocytes_WT","Pts"
"2539",4.31865506286222e-82,0.444795895398349,0.368,0.19,9.10329300700728e-78,"Astrocytes_WT","Pou2f1"
"2540",9.48778415311948e-82,0.367769415799625,0.256,0.098,1.99993002163606e-77,"Astrocytes_WT","Slc2a1"
"2541",1.02035145056898e-81,0.284993140205601,0.774,0.709,2.15079882265436e-77,"Astrocytes_WT","Mat2a"
"2542",2.28281194116021e-80,0.464417569789521,0.463,0.285,4.81193929077161e-76,"Astrocytes_WT","9330159F19Rik"
"2543",5.18483606822814e-80,0.445005493019706,0.381,0.202,1.09291159482181e-75,"Astrocytes_WT","Bhlhe40"
"2544",3.99647827739065e-79,0.416474544735653,0.585,0.388,8.42417656091175e-75,"Astrocytes_WT","Dgkb"
"2545",1.44241121083831e-78,0.372436666288292,0.492,0.216,3.04045859132608e-74,"Astrocytes_WT","Neat1"
"2546",3.61561793243306e-77,0.33131520555546,0.213,0.074,7.62136103977565e-73,"Astrocytes_WT","Tmc7"
"2547",1.30902455929628e-76,0.443113375627293,0.428,0.257,2.75929286854062e-72,"Astrocytes_WT","Rora"
"2548",7.70162227301658e-76,0.265955156581829,0.159,0.046,1.62342495892916e-71,"Astrocytes_WT","Gulp1"
"2549",1.00940269873244e-75,0.441497707615875,0.404,0.239,2.12771994865811e-71,"Astrocytes_WT","Snta1"
"2550",3.48462303315307e-75,0.438714329568784,0.481,0.326,7.34523689158336e-71,"Astrocytes_WT","Mfn1"
"2551",5.51375215499278e-75,0.301389872656046,0.173,0.055,1.16224381675093e-70,"Astrocytes_WT","Clybl"
"2552",2.68518989791626e-74,0.288043345494069,0.177,0.056,5.66011178581768e-70,"Astrocytes_WT","Idh1"
"2553",1.58361329597047e-73,0.312928547812168,0.189,0.064,3.33809846657614e-69,"Astrocytes_WT","Tead1"
"2554",1.77235305367177e-73,0.286173741742505,0.182,0.058,3.73594300183472e-69,"Astrocytes_WT","Ccnd3"
"2555",1.65202519014651e-72,0.3785232287037,0.59,0.472,3.48230389830983e-68,"Astrocytes_WT","Hivep3"
"2556",2.54901040803992e-72,0.271471035673835,0.807,0.722,5.37305903910734e-68,"Astrocytes_WT","Gpm6a"
"2557",8.14789513207009e-72,0.433382402920192,0.339,0.179,1.71749481488905e-67,"Astrocytes_WT","Atl2"
"2558",8.18596796465869e-72,0.324447352267959,0.204,0.073,1.72552018727041e-67,"Astrocytes_WT","Akr1b10"
"2559",9.19507954302837e-72,0.271996367936919,0.183,0.057,1.93823081687495e-67,"Astrocytes_WT","Elf1"
"2560",4.9058400435751e-71,0.368080677040902,0.257,0.109,1.0341020227852e-66,"Astrocytes_WT","Aldh2"
"2561",1.05873986057785e-70,0.295639839813052,0.174,0.057,2.23171775211204e-66,"Astrocytes_WT","Yap1"
"2562",4.73363475338462e-70,0.351133284631931,0.223,0.088,9.97802869665945e-66,"Astrocytes_WT","Kifc3"
"2563",1.17289826235579e-69,0.326169196792559,0.205,0.076,2.47235224721976e-65,"Astrocytes_WT","Mcc"
"2564",5.47593888298941e-69,0.400461709074156,0.523,0.402,1.15427315714534e-64,"Astrocytes_WT","Ahcyl1"
"2565",9.90374433678665e-69,0.428564500868135,0.506,0.367,2.08761026875126e-64,"Astrocytes_WT","Phyhipl"
"2566",4.26317635328218e-67,0.398964880014728,0.522,0.386,8.9863494350835e-63,"Astrocytes_WT","AI480526"
"2567",3.02205638798268e-66,0.318982105324337,0.202,0.076,6.37019266022869e-62,"Astrocytes_WT","Slc41a1"
"2568",4.05054727360727e-65,0.340713378704584,0.22,0.088,8.53814859803677e-61,"Astrocytes_WT","Mcur1"
"2569",1.39189558101627e-64,0.309823869305354,0.186,0.068,2.9339766952242e-60,"Astrocytes_WT","Tbc1d10a"
"2570",2.42692925560692e-64,0.26698783547365,0.144,0.044,5.11572417789384e-60,"Astrocytes_WT","Rnf182"
"2571",3.29867145329316e-64,0.361089832858124,0.56,0.452,6.95326955639665e-60,"Astrocytes_WT","Ate1"
"2572",7.96891074686743e-64,0.294429812436728,0.649,0.582,1.67976669633219e-59,"Astrocytes_WT","4930402H24Rik"
"2573",1.42211633935401e-63,0.274200585110539,0.688,0.632,2.99767903172431e-59,"Astrocytes_WT","Spag9"
"2574",3.21382849894139e-63,0.26135162998935,0.725,0.649,6.77442909291856e-59,"Astrocytes_WT","Tnik"
"2575",5.4256209972445e-63,0.378687300830179,0.319,0.158,1.14366665000917e-58,"Astrocytes_WT","Itgb8"
"2576",9.83164347420642e-63,0.407719785714961,0.357,0.207,2.07241212792797e-58,"Astrocytes_WT","Dbp"
"2577",1.20490711673038e-62,0.3617500465091,0.267,0.125,2.53982371135596e-58,"Astrocytes_WT","Nphp3"
"2578",1.27390033358587e-62,0.357284325863602,0.254,0.115,2.68525451316566e-58,"Astrocytes_WT","Ptar1"
"2579",2.51336572459879e-62,0.374448925581166,0.3,0.15,5.29792361088179e-58,"Astrocytes_WT","4933431E20Rik"
"2580",5.32652763803637e-61,0.405082229653754,0.364,0.217,1.12277876082169e-56,"Astrocytes_WT","Fbrsl1"
"2581",1.32151833020159e-60,0.396195770147889,0.315,0.172,2.78562848823194e-56,"Astrocytes_WT","Map2k6"
"2582",3.11699609541493e-60,0.317660896616085,0.228,0.095,6.57031606952513e-56,"Astrocytes_WT","Gng12"
"2583",4.28064772516521e-60,0.303616111615862,0.192,0.074,9.02317733987575e-56,"Astrocytes_WT","Il15ra"
"2584",2.01937809443243e-59,0.328257008106817,0.268,0.12,4.25664708525412e-55,"Astrocytes_WT","Prdx1"
"2585",2.33491967998223e-59,0.312971468835577,0.209,0.085,4.92177719343455e-55,"Astrocytes_WT","Pgm2"
"2586",6.4276865567209e-59,0.402554450293498,0.38,0.235,1.3548920492912e-54,"Astrocytes_WT","Chpt1"
"2587",1.02732669165997e-58,0.370110315744677,0.272,0.135,2.16550193335005e-54,"Astrocytes_WT","Tom1l1"
"2588",2.05403315766792e-58,0.39721301640664,0.436,0.287,4.32969649304821e-54,"Astrocytes_WT","Cuedc1"
"2589",8.67685249974859e-58,0.388122453572012,0.359,0.217,1.828993738422e-53,"Astrocytes_WT","Csgalnact1"
"2590",6.12309786067008e-57,0.26281631810962,0.178,0.063,1.29068779805065e-52,"Astrocytes_WT","3222401L13Rik"
"2591",6.61666185109165e-57,0.262179357387276,0.169,0.06,1.39472615159161e-52,"Astrocytes_WT","Myh14"
"2592",9.50000196504395e-57,0.335830395391431,0.231,0.102,2.00250541421161e-52,"Astrocytes_WT","Lpcat3"
"2593",2.79995664815284e-56,0.334297389173335,0.239,0.108,5.90202861864136e-52,"Astrocytes_WT","Fam213a"
"2594",3.32919840011176e-56,0.293048998749932,0.194,0.075,7.01761730759559e-52,"Astrocytes_WT","Gfra1"
"2595",1.05244442662787e-55,0.389149567743075,0.479,0.343,2.21844760688888e-51,"Astrocytes_WT","Ccdc50"
"2596",1.96724376775187e-55,0.361332957913308,0.269,0.133,4.14675313804416e-51,"Astrocytes_WT","Dhrs7"
"2597",4.11738998794904e-55,0.374179911137812,0.334,0.188,8.67904635559778e-51,"Astrocytes_WT","Tmed5"
"2598",9.43572873992789e-55,0.266873192054728,0.197,0.075,1.9889572610894e-50,"Astrocytes_WT","Lap3"
"2599",2.54370714888344e-54,0.371842655530567,0.324,0.185,5.36188029913141e-50,"Astrocytes_WT","Rab34"
"2600",6.07860952881774e-54,0.358081145178186,0.36,0.201,1.28131010257949e-49,"Astrocytes_WT","Sox8"
"2601",8.43105881907986e-54,0.371113042311807,0.385,0.236,1.77718288847384e-49,"Astrocytes_WT","Tkt"
"2602",1.9490632581601e-53,0.290579881968826,0.216,0.09,4.10843044187567e-49,"Astrocytes_WT","Ddit4"
"2603",3.93134641355983e-53,0.359931043834472,0.333,0.188,8.28688510514277e-49,"Astrocytes_WT","Gpc6"
"2604",1.64022789878667e-52,0.318873428019856,0.217,0.098,3.45743638785241e-48,"Astrocytes_WT","Dlg5"
"2605",2.3533915057742e-52,0.386291125140932,0.394,0.261,4.96071395502143e-48,"Astrocytes_WT","Fdft1"
"2606",5.69569050280703e-52,0.414053457411576,0.297,0.149,1.20059460108669e-47,"Astrocytes_WT","Nnat"
"2607",7.13142500015432e-52,0.256391224925196,0.155,0.056,1.50323307578253e-47,"Astrocytes_WT","Fbxo2"
"2608",2.15723994686984e-51,0.324699792461332,0.219,0.099,4.54724608400693e-47,"Astrocytes_WT","Aldh9a1"
"2609",3.54622227035366e-51,0.381817544447876,0.357,0.226,7.47508192367848e-47,"Astrocytes_WT","CT025619.1"
"2610",1.89352679032361e-50,0.338542738073187,0.279,0.147,3.99136512132314e-46,"Astrocytes_WT","Phkb"
"2611",4.5742430092384e-50,0.289084887346013,0.595,0.519,9.64204683917363e-46,"Astrocytes_WT","Cry2"
"2612",1.84337683779302e-49,0.378483282679647,0.339,0.209,3.8856540363839e-45,"Astrocytes_WT","Fam184a"
"2613",4.58755102272948e-49,0.360096516109345,0.485,0.358,9.67009880081148e-45,"Astrocytes_WT","Pik3r1"
"2614",7.56006948240238e-49,0.318596610946987,0.535,0.464,1.5935870461956e-44,"Astrocytes_WT","Abr"
"2615",2.46166884779741e-48,0.341688819267226,0.268,0.142,5.18895176427215e-44,"Astrocytes_WT","Pdk2"
"2616",1.231679967472e-47,0.354125496864641,0.321,0.184,2.59625820343423e-43,"Astrocytes_WT","2610035D17Rik"
"2617",2.35084969063579e-47,0.272440906566347,0.202,0.082,4.95535606289119e-43,"Astrocytes_WT","Sparc"
"2618",3.54717158475484e-47,0.371662974698952,0.395,0.278,7.47708298350472e-43,"Astrocytes_WT","Cs"
"2619",3.94909236660097e-47,0.348396443645249,0.283,0.157,8.32429179955819e-43,"Astrocytes_WT","Tpcn1"
"2620",7.27478032414753e-47,0.323776367805578,0.25,0.129,1.53345094452706e-42,"Astrocytes_WT","Pigs"
"2621",7.68352622024308e-47,0.360565685405321,0.43,0.313,1.61961049196504e-42,"Astrocytes_WT","Rcn2"
"2622",2.5673647086142e-45,0.312898942312627,0.225,0.111,5.41174806928788e-41,"Astrocytes_WT","4930488L21Rik"
"2623",7.41903260429213e-45,0.368241400500741,0.339,0.223,1.56385788265874e-40,"Astrocytes_WT","Dzip1l"
